Alimento;Unidad individual;Peso unitario individual;Porción comestible;Energía (kcal/100 g);Proteína (g/100 g);Lípidos totales (g/100 g);AG Saturados (g/100 g);Colesterol (g/100 g);Hidratos de Carbono ((g/100 g);Azúcar (g/100 g);Fibra (g/100 g);Na, Sodio [mg/100 g];Subgrupo
Pasta con huevo;taza;45;1;383;12.9;4.1;1;0;74.4;0;0.3;5;Cereales y tubérculos sin grasa
Pasta cruda para sopa;g;1;1;340;9.4;0.4;0.2;0;72.8;0;1.9;2;Cereales y tubérculos sin grasa
Pasta de codito;taza;40;1;369;12.5;1.2;0.2;0;75.2;0;0.3;2;Cereales y tubérculos sin grasa
Pasta de estrellitas;taza;75;1;369;12.5;1.2;0.2;0;75.2;0;0.3;2;Cereales y tubérculos sin grasa
Pasta de lagrimitas;taza;75;1;369;12.5;1.2;0.2;0;75.2;0;0.3;2;Cereales y tubérculos sin grasa
Pasta de letras;taza;75;1;369;12.5;1.2;0.2;0;75.2;0;0.3;2;Cereales y tubérculos sin grasa
Pasta de moño;taza;40;1;369;12.5;1.2;0.2;0;75.2;0;0.3;2;Cereales y tubérculos sin grasa
Pasta de municiones;taza;75;1;369;12.5;1.2;0.2;0;75.2;0;0.3;2;Cereales y tubérculos sin grasa
Pasta de trigo cocida;taza;120;1;129.8;5.3;1.8;0.4;40.4;23.3;0;0;82.5;Cereales y tubérculos sin grasa
Pasta de trigo fresca;g;1;1;288;11.3;2.3;0.3;73;54.7;0;0;26;Cereales y tubérculos sin grasa
Pasta fresca;g;1;1;288;11.3;2.3;0.3;73;54.7;0;0;26;Cereales y tubérculos sin grasa
Pasta integral cocida;taza;140;1;124.3;5.4;0.6;0.1;0;26.6;0;4.5;2.9;Cereales y tubérculos sin grasa
Pasta para sopa cruda;g;1;1;325;13.3;0.5;0;0;72.3;0;1.8;8.2;Cereales y tubérculos sin grasa
Pasta tornillo cocida;taza;45;1;383;12.9;4.1;1;0;74.4;0;0.3;5;Cereales y tubérculos sin grasa
Pastel ángel;rebanada;28;1;260.7;6.1;0.7;0;0;58.6;0;1.4;757.1;Cereales y tubérculos sin grasa
Peneques;pieza;13;1;224;5.9;1.5;0.1;0;47.2;0;4.5;0;Cereales y tubérculos sin grasa
Pinole;g;1;1;386;10.7;6.3;0;0;75.6;0;0;0;Cereales y tubérculos sin grasa
Populares;pieza;8.25;1;372.7;7.3;3;1.2;0;79.4;28.2;2.4;590.9;Cereales y tubérculos sin grasa
Pretzels;pieza;3;1;385.7;9.3;3.6;0.7;0;80.4;0;3.2;1735.7;Cereales y tubérculos sin grasa
Puré de camote;taza;238;1;101.2;2;0.2;0;0;23.2;0;1.7;74.9;Cereales y tubérculos sin grasa
Puré de camote con naranja;taza;198;1;154.9;0.5;0;0;0;38.3;0;0;10.6;Cereales y tubérculos sin grasa
Puré de papa hojuelas;taza;60;1;354;8.3;0.4;0;0;81.2;3.4;6.6;104;Cereales y tubérculos sin grasa
Quaker instant 0% azúcar;sobre;35;1;340;8.3;4;0.9;0;67.4;11.7;10.3;486;Cereales y tubérculos sin grasa
Quinoa cruda;g;1;1;368.2;14.1;6.1;0.7;0;64.2;ND;7;4.7;Cereales y tubérculos sin grasa
Raíz de Chayote;g;1;1;79;2;0.2;0;0;17.8;0;0.4;0;Cereales y tubérculos sin grasa
Sagú;g;1;1;158;2.4;0.1;0;0;37;0;1.9;0;Cereales y tubérculos sin grasa
Saladitas;pieza;3.25;1;415.4;9.2;10.8;5.4;0;70;3.1;3.1;1423.1;Cereales y tubérculos sin grasa
Saladitas Integrales;pieza;2;1;386.7;9;10.3;5;0;64;3;8.3;1400;Cereales y tubérculos sin grasa
Salvado de maíz;cucharada;4.75;1;224;8.4;0.8;0;0;85.6;0;85.6;8;Cereales y tubérculos sin grasa
Salvado de trigo;cucharada;3.83;1;216.7;15.7;4.3;0.7;0;64.7;2.3;42.7;3.3;Cereales y tubérculos sin grasa
Semola de maíz preparada;taza;242;1;59.1;1.4;0.2;0;0;12.9;0.1;0.3;2.1;Cereales y tubérculos sin grasa
Semolina;g;1;1;359.5;12.7;1.1;0.1;0;72.9;0;3.9;1.2;Cereales y tubérculos sin grasa
Sopa instan ramen sin preparar;g;1;1;133.3;4;2;0.7;0;22.7;2.7;1.3;987;Cereales y tubérculos sin grasa
Sorgo;cucharada;12;1;338.5;11.3;3.3;0.4;0;74.6;0;0;6.3;Cereales y tubérculos sin grasa
Tallarín cocido;taza;45;1;368;12.4;1.6;0;0;74.8;0;0.5;0;Cereales y tubérculos sin grasa
Tallarín crudo;g;1;1;369;12.5;1.2;0.2;0;75.2;0;0.3;2;Cereales y tubérculos sin grasa
Tapioca;cucharada;9.7;1;333.3;0;0;0;0;83.3;0;0;0;Cereales y tubérculos sin grasa
Telera;pieza;70;1;268;8;3.6;0.8;0;49.6;3.6;2.4;540;Cereales y tubérculos sin grasa
Tortilla;pieza;30;1;214;4.6;1.8;0.2;0;45.3;0;2.1;0;Cereales y tubérculos sin grasa
Tortilla de maíz;pieza;30;1;214;4.6;1.8;0.2;0;45.3;0;2.1;0;Cereales y tubérculos sin grasa
Tortilla de maíz amarillo;pieza;32;1;214;4.6;1.8;0.2;0;45.3;0;2.1;0;Cereales y tubérculos sin grasa
Tortilla de maíz azul o negro;pieza;32;1;220;4.9;2.7;0.3;0;44;0;1.1;0.6;Cereales y tubérculos sin grasa
Tortilla de maíz blanco;pieza;30;1;224;5.9;1.5;0.1;0;47.2;0;4.5;0;Cereales y tubérculos sin grasa
Tortilla de maíz y soya;pieza;33;1;227;6.8;4.1;0.4;0;41.9;0;2.2;0;Cereales y tubérculos sin grasa
Tortilla de maíz y trigo;pieza;32;1;228;10;1.5;0.2;0;46.6;0;4.5;0;Cereales y tubérculos sin grasa
Tortilla de nopal;pieza;23;1;86.9;4.6;1.8;0.2;0;19;0;13;0;Cereales y tubérculos sin grasa
Tostada de maiz horneada;pieza;10;1;366.6;10;6.6;0;0;80;0;10;ND;Cereales y tubérculos sin grasa
Tostada de nopal horneada;pieza;10;1;333.3;6.6;6.6;0;0;76.6;0;13.3;ND;Cereales y tubérculos sin grasa
Trigo;cucharada;14;1;337;10.6;2.6;0;0;73.4;0;3.3;3;Cereales y tubérculos sin grasa
Trigo cocido;cucharada;13.75;1;337;10.6;2.6;0;0;73.4;0;3.3;3;Cereales y tubérculos sin grasa
Trigo entero;cucharada;9.38;1;337;10.6;2.6;0;0;73.4;0;3.3;3;Cereales y tubérculos sin grasa
Trigo negro;g;1;1;345.7;11.7;2.7;0.6;0;68.8;ND;10.3;320.1;Cereales y tubérculos sin grasa
Trigo triturado;cucharada;13;1;337;10.6;2.6;0;0;73.4;0;3.3;3;Cereales y tubérculos sin grasa
Yuca;pieza;350;1;121;1;0.6;0.1;0;28.2;0;1.1;8;Cereales y tubérculos sin grasa
Yuquilla;g;1;1;53;4.1;0;0;0;9.6;0;1.2;0;Cereales y tubérculos sin grasa
Aguardiente;ml;1;1;280;0;0;0;0;0;0;0;0;Etanol
Anís dulce o seco;ml;1;1;267;0;0;0;0;1;0;0;3;Etanol
Brandy;ml;1;1;231;0;0;0;0;0;0;0;0;Etanol
Cerveza;lata;356;1;43;0.5;0;0;0;3.6;0;0;4;Etanol
Cerveza light;lata;354;1;29;0.2;0;0;0;1.6;0.1;0;4;Etanol
Champaña;copa;150;1;67.6;0.2;0;0;0;1.5;0;0;3.5;Etanol
Coñac;ml;1;1;240;0;0;0;0;2;ND;0;2.4;Etanol
Crema de menta;ml;1;1;371;0;0.2;0;0;41.6;41.6;0;5;Etanol
Ginebra;ml;1;1;263;0;0;0;0;0;0;0;2.4;Etanol
Licor 100° proof;ml;1;1;295;0;0;0;0;3.5;0;0;1;Etanol
Licor 80° proof;ml;1;1;231;0;0;0;0;3.5;0;0;1;Etanol
Licor 86° proof;ml;1;1;250;0;0;0;0;3.5;0;0;1;Etanol
Licor 90° proof;ml;1;1;263;0;0;0;0;3.5;0;0;1;Etanol
Licor 94° proof;ml;1;1;275;0;0;0;0;3.5;0;0;1;Etanol
Licor de almendras;ml;1;1;224;0.1;0;0;0;35;0;0;5;Etanol
Licor de café;ml;1;1;326;0.1;0.3;0.2;0;46.8;46.4;0;8;Etanol
Licor de café con crema;ml;1;1;327.7;2.8;15.7;9.6;14.9;20.9;19.8;0;91.5;Etanol
Licor de café con whiskey;ml;1;1;327.7;2.8;15.7;9.6;14.9;20.9;0;0;91.5;Etanol
Licor de naranja;ml;1;1;224;0.1;0;0;0;35;0;0;5;Etanol
Oporto;ml;1;1;161;0.2;0;0;0;13;0;0;4;Etanol
Pulque;vaso;220;1;47;0.4;0;0;0;6.1;0;0;0;Etanol
Rompope;ml;1;1;235;3.8;7.5;4.4;58.7;23.5;0;0;54.3;Etanol
Ron blanco o añejo;ml;1;1;231;0;0;0;0;0;0;0;0;Etanol
Sidra;copa;150;1;49.9;0.2;0;0;0;6;0;0;7;Etanol
Tequila;ml;1;1;266;0;0;0;0;0;0;0;2;Etanol
Vermouth seco;ml;1;1;222.9;0;0;0;0;0.3;0;0;2.9;Etanol
Vino (12.2% alcohol);copa;100;1;137;0.1;0;0;0;7.7;0;0;8;Etanol
Vino blanco dulce;copa;100;1;160;0.2;0;0;0;13.7;7.8;0;9;Etanol
Vino blanco seco;copa;100;1;82;0.1;0;0;0;2.6;1;0;5;Etanol
Vino de mesa;copa;100;1;83;0.1;0;0;0;2.7;0.8;0;5;Etanol
Vino espumoso;copa;150;1;67.6;0.2;0;0;0;1.5;0;0;3.5;Etanol
Vino rosado;copa;100;1;66.9;0.1;0;0;0;1.4;2.5;0;4;Etanol
Vino tinto;copa;100;1;85;0.1;0;0;0;2.6;0.6;0;4;Etanol
Vodka;ml;1;1;231;0;0;0;0;0;0;0;0;Etanol
Whisky;ml;1;1;250;0;0;0;0;0.1;0.1;0;0;Etanol
Agua de coco;taza;240;1;18;0.3;0.2;0;0;4.7;0;0;25;Frutas
Albaricoque en almibar;taza;258;1;82.9;0.7;0.1;0;0;21.3;18.6;2.7;3.9;Frutas
Albaricoque en mitades enlatados en  jugo;taza;244;1;48;0.6;0;0;0;12.3;10.7;1.6;4.1;Frutas
Albaricoque en mitades enlatados en agua;taza;227;1;26.9;0.7;0.2;0;0;6.4;4.8;1.6;3.1;Frutas
Anona;g;1;1;101;1.7;0.6;0;0;25.2;0;3.4;4;Frutas
Arándano fresco;taza;100;1;46;0.4;0.1;0;0;12.2;4;4.6;3;Frutas
Arándano seco con azúcar;taza;10.8;1;944.4;0;4.6;0;0;251.9;198.1;17.6;9.3;Frutas
Blueberries;taza;145;1;57;0.7;0.3;0;0;14.5;10;2.4;6;Frutas
Blueberries congeladas;taza;155;1;51;0.5;0.6;0.1;0;12.2;8.5;2.7;1.3;Frutas
Blueberries congeladas con azúcar;taza;230;1;80.9;0.4;0.1;0;0;22;19.7;2.2;0.9;Frutas
Blueberries en almíbar;taza;256;1;87.9;0.7;0.3;0;0;22.1;20.5;1.6;3.1;Frutas
Breba;pieza;40;1;33;0.5;0.1;0;0;8.4;0;1.7;2;Frutas
Caimito blanco o morado;pieza;200;1;52;1.3;1.7;0;0;9.4;0;2.9;0;Frutas
Calabaza melón;g;1;1;59;2.9;0.9;0;0;11.5;0;1.3;0;Frutas
Caña de azúcar;g;1;1;64;0.5;0.5;0;0;17.2;0;1.9;0;Frutas
Capulín;taza;160;1;66;1.5;0;0;0;16.8;0;0.6;0;Frutas
Carambolo o Carambola;pieza;127;1;31;1;0.3;0;0;6.7;4;2.8;2.4;Frutas
Cereza;pieza;6.8;1;63;1;0.2;0.1;0;16.6;12.8;2.4;0;Frutas
Cereza congeladas;taza;155;1;45.8;0.9;0.5;0.1;0;11;9;1.6;1.3;Frutas
Cerezas en almíbar;taza;256;1;91;0.7;0.1;0;0;23.3;22.2;1.1;7;Frutas
Cerezas maschino enlatadas;piezas;5;1;320;0;0;0;0;84;78;6;0;Frutas
Chabacano;pieza;35;1;48.1;1.4;0.4;0;0;11.1;9.2;2;0.9;Frutas
Chagua;g;1;1;76;10.5;0.9;0;0;9.3;0;3.1;0;Frutas
Cherimoya picada;taza;156;1;73.7;1.7;0.6;0;0;17.7;0;2.3;3.8;Frutas
Chicozapote;pieza;170;1;82.9;0.4;1.1;0.2;0;19.9;0;5.3;11.8;Frutas
Chirimoya;pieza;320;1;94;1.3;0.4;0;0;24;0;2.2;0;Frutas
Ciricote;g;1;1;65;1.2;0.1;0;0;16.7;0;1.6;0;Frutas
Ciruela criolla roja o amarilla;pieza;66;1;46;0.7;0.3;0;0;11.4;;1.4;0;Frutas
Ciruela negra;pieza;165;1;76;1;0;0;0;19;16;2;;Frutas
Ciruela pasa deshuesada;pieza;8;1;107;1;0.2;0;0;28.1;25;3.1;12.5;Frutas
Cocktail de frutas en almíbar;taza;248;1;70.2;0.5;0.1;0;0;18.8;17.1;1.7;6;Frutas
Cocktail de frutas enlatado con agua;taza;237;1;32.1;0.4;0;0;0;8.5;7.5;1;3.8;Frutas
Cocktail de frutas enlatado con jugo de fruta;taza;237;1;46;0.5;0;0;0;11.9;10.8;1;3.8;Frutas
Cocoyol;g;1;1;175;5.9;8.9;0;0;22.3;0;4.9;0;Frutas
Coloc;g;1;1;102;1.9;0.4;0;0;25.7;0;0.5;0;Frutas
Cundeamor;g;1;1;7;0.9;0.2;0;0;3.5;0;1.2;0;Frutas
Dátil seco;pieza;8.3;1;277;1.8;0.2;0.2;0;75;66.5;6.7;2.4;Frutas
Durazno amarillo;pieza;87;1;39;0.9;0.1;0;0;9.5;8.4;1.5;0;Frutas
Durazno con azúcar congelado;taza;250;1;94;0.6;0.1;0;0;24;22.2;1.8;6;Frutas
Durazno en almíbar;taza;251;1;54.2;0.4;0;0;0;14.5;13.3;1.3;5.2;Frutas
Durazno enlatado en agua;taza;244;1;24.2;0.5;0;0;0;6.1;4.8;1.3;2.9;Frutas
Durazno enlatado en jugo;taza;250;1;44;0.6;0;0;0;11.6;10.3;1.3;4;Frutas
Durazno prisco;pieza;50;1;39;0.9;0.1;0;0;9.5;8.4;1.5;1;Frutas
Frambuesa;taza;123;1;52;1.2;0.7;0;0;11.9;4.4;6.5;0;Frutas
Fresa entera;pieza med;12;1;32;0.7;0.3;0;0;7.7;4.9;2;1;Frutas
Fresa rebanada;taza;166;1;32;0.7;0.3;0;0;7.7;4.9;2;1;Frutas
Fresas congeladas con azúcar;taza;255;1;78;0.5;0.2;0;0;21;18.6;1.9;1.2;Frutas
Fresas congeladas sin azúcar;taza;221;1;34.8;0.5;0.1;0;0;9.1;4.6;2.1;1.8;Frutas
Fruta de la pasión;pieza;55;1;97;2.2;0.7;0;0;23.3;11.2;10.4;27.8;Frutas
Fruta picada;taza;140;1;41.9;0.5;0.2;0;0;10.5;5.5;1;1.8;Frutas
Fruto del pan;g;1;1;81;1.3;0.5;0;0;20.1;0;1.8;2;Frutas
Gajos de mandarina;taza;105;1;53;0.8;0.3;0;0;13.3;10.6;1.8;1;Frutas
Gajos de naranja;taza;150;1;47;0.9;0.1;0;0;11.8;9.4;2.4;0;Frutas
Gajos de toronja;taza;150;1;33;0.6;0.1;0;0;8.4;7.3;1.1;0;Frutas
Giotilla;g;1;1;51;1.8;0.8;0;0;10.7;0;1.5;0;Frutas
Granada china;pieza;60;1;97;2.2;0.7;0;0;23.4;0;10.9;28;Frutas
Granada roja;pieza;190;1;50;1;0.3;0;0;17.7;0;2.7;3;Frutas
Grosellas;taza;150;1;44;0.9;0.6;0.1;0;10.2;0;4.3;1.3;Frutas
Grosellas en almíbar;taza;252;1;73;0.6;0.2;0;0;18.7;0;2.4;2;Frutas
Grosellas negras;taza;112;1;63.4;1.4;0.4;0;0;15.4;0;0;1.8;Frutas
Grosellas rojas o blancas;taza;112;1;56.3;1.4;0.2;0;0;13.8;7.4;4.3;0.9;Frutas
Guamuchil;g;1;1;78;3;0.4;ND;;18.2;ND;0.4;19;Frutas
Guanábana;pieza chica;350;1;38;0.4;1.6;0;0;6.5;0;3.8;0;Frutas
Guanábana cimarrona;pieza;350;1;38;0.4;1.6;0;0;6.5;0;3.8;0;Frutas
Guayaba;pieza;45;1;51;0.8;0.6;0.2;0;11.9;0;5.6;3;Frutas
Guayaba rosa;pieza;90;1;68;2.6;1;0.2;0;14.3;8.9;5.4;36.9;Frutas
Higo;pieza;40;1;74;0.8;0.2;0;0;19.2;16.3;2.9;2;Frutas
Higo deshidratado;pieza;18.7;1;249;3;0.9;0.2;0;63.9;47.9;9.8;11.2;Frutas
Jinicuil;g;1;1;145;11.9;0.9;0;0;27;0;0.9;0;Frutas
Jugo de limón;taza;240;1;25;0.4;0;0;0;8.6;2.4;0.4;0.8;Frutas
Jugo de mamey;taza;240;1;65;0.8;0.1;0;0;15.6;0;0.3;0;Frutas
Jugo de mandarina natural;taza;240;1;38;0.7;0;0;0;9.4;8.3;1.2;0;Frutas
Jugo de mango;taza;240;1;51;0.1;0.1;0;0;13.1;12.5;0.3;0;Frutas
Jugo de naranja natural;taza;240;1;45.2;0.7;0.2;0;0;10.4;8.4;0.2;0.8;Frutas
Jugo de papaya;taza;240;1;57;0.2;0.2;0;0;14.5;13.9;0.6;0;Frutas
Jugo de toronja natural;taza;240;1;38.9;0.5;0.1;0;0;9.2;8.4;0.1;0.8;Frutas
Kiwi;pieza;88;1;60.5;1.1;0.5;0;0;14.7;9;3;5.3;Frutas
Lichis;pieza;15;1;66;0.8;0.4;0;0;16.5;15.2;1.3;0.5;Frutas
Lima;pieza;78;1;30;0.7;0.2;0;0;10.5;1.7;2.8;1.7;Frutas
Limón real;pieza;58;1;20;1.2;0.3;0;0;10.7;0;4.7;0;Frutas
Mamey;pieza;410;1;69;1.7;0.6;0;0;16.2;0;4.5;0;Frutas
Mandarina;pieza;90;1;53;0.8;0.3;0;0;13.3;10.6;1.8;1;Frutas
Mandarina reyna;pieza;200;1;53;0.8;0.3;0;0;13.3;10.6;1.8;1;Frutas
Mango ataúlfo;pieza;190;1;65;0.5;0.3;0.1;0;17;0;1.8;2;Frutas
Mango criollo;pieza;200;1;35;0.8;0;0;0;9;0;1.1;7;Frutas
Mango en almíbar enlatado;pieza;61;1;92;0.5;0.2;0;0;24.6;0;0.2;0;Frutas
Mango manila;pieza;207;1;43;0.8;0;0;0;11.1;0;1.1;7;Frutas
Mango petacón;pieza;400;1;65;0.5;0.3;0.1;0;11.7;0;1.1;2;Frutas
Mango picado;taza;165;1;35;0.8;0;0;0;9;0;1.1;2;Frutas
Mangosteno enlatado en jarabe;taza;196;1;73;0.4;0.6;0;0;17.9;0;1.8;7.1;Frutas
Manzana;pieza;138;1;52;0.3;0.2;0.1;0;13.8;10.4;2.4;0;Frutas
Manzana al vapor;taza;171;1;52;0.3;0.2;0.1;0;13.6;10.4;2.4;1.2;Frutas
Manzana amarilla;pieza;130;1;65;0.3;0.3;0.1;0;16.5;10.4;2.1;0;Frutas
Manzana cocida;taza;171;1;52;0.3;0.2;0.1;0;13.6;10.4;2.4;1.2;Frutas
Manzana deshidratada;orejones;2.5;1;243.8;0.9;0.3;0;0;65.9;57.2;8.8;87.5;Frutas
Manzana en almíbar;pieza;23.8;1;227;0.2;0.1;0.1;0;65.9;57.2;8.8;3;Frutas
Manzana en almíbar enlatada;pieza;23.8;1;227;0.2;0.1;0.1;0;65.9;57.2;8.8;3;Frutas
Manzana golden;pieza;130;1;65;0.3;0.3;0.1;0;16.5;13.3;2.1;0;Frutas
Manzana granny;pieza;185;1;58.7;0.2;0.4;0.1;0;15.2;13.3;2.7;0;Frutas
Manzana picada;taza;150;1;58.7;0.2;0.4;0.1;0;15.2;13.3;2.7;0;Frutas
Manzana roja;pieza;185;1;58.7;0.2;0.4;0.1;0;15.2;13.3;2.7;0;Frutas
Manzana sin cáscara;pieza;128;1;57;0.2;0.3;0.1;0;14.8;10.1;1.3;0;Frutas
Manzana verde;pieza;185;1;58.7;0.2;0.4;0.1;0;15.2;13.3;2.7;0;Frutas
Manzana Washington;pieza;185;1;58.7;0.2;0.4;0.1;0;15.2;13.3;2.7;0;Frutas
Maracuyá;pieza;50;1;97;2.2;0.7;0;0;23.3;11.2;10.4;27.8;Frutas
Maracuyá rebanado;taza;137;1;97;2.2;0.7;0;0;23.3;11.2;10.4;27.8;Frutas
Marañón fresco;g;1;1;36;0.9;0.3;0;0;8.4;0;2.7;0;Frutas
Melón;pieza;814;1;34;0.8;0.2;0;0;8.2;7.9;0.9;9;Frutas
Melón cantaloupe;pieza;814;1;34;0.8;0.2;0;0;8.2;7.9;0.9;9;Frutas
Melón chino;pieza;875;1;36;0.5;0.1;0;0;9.1;8.1;0.8;9;Frutas
Melón picado;taza;160;1;34;0.8;0.2;0;0;8.2;7.9;0.9;9;Frutas
Melón valenciano;pieza;814;1;34;0.8;0.2;0;0;8.2;7.9;0.9;9;Frutas
Melón valenciano picado;taza;160;1;34;0.8;0.2;0;0;8.2;7.9;0.9;9;Frutas
Melón verde picado;taza;160;1;36;0.5;0.1;0;0;9.1;8.1;0.8;8.8;Frutas
Membrillo;pieza;163;1;57;0.4;0.1;0;0;15.3;0;1.7;4;Frutas
Moras;taza;144;1;62;2;0.6;0;0;13.8;7;7.6;0;Frutas
Nanche agrio;pieza;5;1;54;1.1;1.3;0;0;11.4;0;2;0;Frutas
Naranja;pieza;121;1;47;0.9;0.1;0;0;11.8;9.4;2.4;0;Frutas
Naranja agria;pieza;100;1;58;1.5;0.6;0;0;11.8;9.4;2.4;1;Frutas
Naranja cajera;pieza;110;1;50;1;0.7;0;0;11.8;9.4;2.4;1;Frutas
Naranja china;pieza;35;1;37;1.6;0.3;0;0;11.8;9.4;2.4;0;Frutas
Naranja sin semilla;pieza;201;1;46.4;0.7;0.4;0;0;11.8;9.4;2.4;1;Frutas
Naranja valenciana;pieza;121;1;48.8;1.1;0.3;0;0;11.8;9.4;2.4;0;Frutas
Naranjada concentrada;taza;260;1;44;0.8;0.1;0;0;10.2;0;0.2;0;Frutas
Nectarina;pieza;136;1;44;1.1;0.3;0.1;0;10.6;7.9;1.7;0;Frutas
Níspero;pieza;14;1;42;0.1;0.9;0;0;9.5;0;0;0;Frutas
Níspero del Japón;pieza;90;1;48;0.4;0.2;0;0;12.4;0;1.2;1;Frutas
Orejones de chabacano;pieza;3.5;1;241;3.4;0.5;0;0;62.6;53.4;7.3;11.4;Frutas
Orejones de durazno;pieza;13;1;239.2;3.6;0.8;0.1;0;61.3;41.7;8.2;6.9;Frutas
Orejones de manzana;pieza;2.5;1;243;0.9;0.3;0;0;65.9;57.2;8.7;87.5;Frutas
Orejones de pera;pieza;18;1;262.3;1.9;0.6;0.1;0;69.7;62.2;7.5;6.3;Frutas
Papaya hawaiana;pieza pequeña;304;1;39.1;0.6;0.1;0;0;9.8;0;1.8;3;Frutas
Papaya picada;taza;140;1;39;0.6;0.1;0;0;9.8;0;1.8;3;Frutas
Papilla de chabacano con tapioca;frasco;130;1;63;0.3;0;0;0;17.3;1.4;1.5;8;Frutas
Papilla de ciruela pasa con tapioca;frasco;130;1;70;0.6;0.1;0;0;18.7;11;2.7;5;Frutas
Papilla de durazno;frasco;130;1;65;0.9;0.3;0;0;14.5;11.5;1.3;6;Frutas
Papilla de frutas mixtas;frasco;130;1;60;0.2;0;;0;16.4;0;ND;8;Frutas
Papilla de guayaba y papaya con tapioca;frasco;130;1;63;0.2;0.1;0;0;17;0;ND;9;Frutas
Papilla de mango con tapioca;frasco;130;1;70;0.3;0.2;0;0;19;13;1.1;4;Frutas
Papilla de manzana;frasco;130;1;72;0.4;0;0;0;19.6;0;ND;10;Frutas
Papilla de manzana y chabacano;frasco;130;1;47;0.2;0.2;0;0;12.4;8.7;1.8;3;Frutas
Papilla de pera;frasco;130;1;57;0.3;0.1;0;0;13.6;8.7;1.2;2;Frutas
Papilla de pera y piña;frasco;130;1;44;0.3;0.2;0;0;11.4;7.4;2.6;4;Frutas
Papilla de plátano y piña con tapioca;frasco;130;1;68;0.2;0.1;0;0;18.4;8.4;1.6;8;Frutas
Pasas;pieza;2;1;296;2.5;0.5;0.2;0;78.5;0;6.8;28;Frutas
Pasitas;pieza;2;1;296;2.5;0.5;0.2;0;78.5;0;6.8;28;Frutas
Pasitas sin semilla;pieza;2;1;299;3.2;0.5;0;0;79.1;59.2;3.7;12;Frutas
Pera;pieza;190;1;58;0.4;0.1;0;0;15.5;9.8;3.1;0;Frutas
Pera asiática;pieza;275;1;42;0.5;0.2;0;0;10.7;7.1;3.6;0;Frutas
Pera bartlett;pieza;182;1;58;0.4;0.1;0;0;15.5;9.8;3.1;0;Frutas
Pera d'anjou;pieza;190;1;58;0.4;0.1;0;0;15.5;9.8;3.1;0;Frutas
Pera de agua;pieza;182;1;58;0.4;0.1;0;0;15.5;9.8;3.1;0;Frutas
Pera de San Juan;pieza;65;1;58;0.4;0.1;0;0;15.5;9.8;3.1;0;Frutas
Pera deshidratada;orejon;17.5;1;262.3;1.9;0.6;0.1;0;69.7;0;7.5;6.3;Frutas
Pera en almíbar;pieza;152;1;58;0.4;0.1;0;0;15.5;9.8;3.1;5.2;Frutas
Pera mantequilla;pieza;165;1;58;0.4;0.1;0;0;15.5;9.8;3.1;0;Frutas
Pera picada;taza;150;1;42;0.5;0.2;0;0;10.7;7.1;3.6;0;Frutas
Pera piña;pieza;200;1;58;0.4;0.1;0;0;15.5;9.8;3.1;0;Frutas
Pera rebanada;taza;150;1;42;0.5;0.2;0;0;10.7;7.1;3.6;0;Frutas
Pera roja;pieza;180;1;58;0.4;0.1;0;0;15.5;9.8;3.1;5.2;Frutas
Pera roja rebanada;taza;160;1;58;0.4;0.1;0;0;15.5;9.8;3.1;5.2;Frutas
Perón;pieza;150;1;62;0.4;0.4;0;0;15.9;0;2.1;0;Frutas
Perón picado;taza;125;1;62;0.4;0.4;0;0;15.9;0;2.1;0;Frutas
Pérsimo;pieza;25;1;127;0.8;0.4;0;0;33.6;0;ND;0;Frutas
Pérsimo japonés;pieza;168;1;70.2;0.6;0.2;0;0;18.6;12.5;3.6;1.2;Frutas
Piña en almíbar;rebanada;50.3;1;83;0.3;0.1;0;0;21.5;0;0.8;1;Frutas
Piña en almíbar;taza;190;1;83;0.3;0.1;0;0;21.5;0;0.8;1.2;Frutas
Piña picada;taza;165;1;50;0.5;0.1;0;0;13.1;9.9;1.4;1.3;Frutas
Piña rebanada;rebanada;84;1;50;0.5;0.1;0;0;13.1;9.9;1.4;1.3;Frutas
Pitahaya;pieza;120;1;48;1.6;0.6;0;0;10.4;0;2;0;Frutas
Plátano;pieza;160;1;89;1.1;0.3;0.2;0;22.8;12.2;2.6;0.9;Frutas
Plátano deshidratado;taza;80;1;346;4;2;0;0;88.3;47.3;9.9;6.4;Frutas
Plátano dominico;pieza;35;1;96;1.7;0.2;0;0;24.7;13;2.1;3;Frutas
Plátano machacado;taza;225;1;89;1.1;0.3;0.2;0;22.8;12.2;2.6;1;Frutas
Plátano macho;pieza;380;1;192;1;0.5;0.2;0;23.4;12.2;2.1;1;Frutas
Plátano macho rebanado;taza;154;1;192;1;0.5;0.2;0;23.4;12.2;2.1;1;Frutas
Plátano manzano;pieza;180;1;96;1;0.6;0;0;24.2;12.2;2.1;1;Frutas
Plátano morado;pieza;180;1;84;1.9;0.2;0;0;21.1;12.1;2.1;1;Frutas
Pomarosa;g;1;1;63;0.6;0.2;0;0;16.4;0;1.4;0;Frutas
Pomelo;g;1;1;38;0.6;0.1;0;0;9.6;0;0.2;1;Frutas
Prisco;pieza;50;1;38;0.6;0.1;0;0;9.7;0;1.4;1;Frutas
Pulpa de fresa;cucharada;12.5;1;176;0.5;0.3;0;0;47.7;0;0.7;0;Frutas
Pulpa de guanábana;cucharada;12.5;1;181;0.4;0.3;0;0;49.3;0;0.3;0;Frutas
